title;type;scimago_value;jcs_value
Nature Reviews Cancer;journal;19.58;60.72
ACS Central Science;journal;4.89;14.55
American Journal of Gastroenterology;journal;2.91;10.86
Natural Product Reports;journal;2.70;13.42
EBioMedicine;journal;2.60;8.14
IEEE Transactions on Geoscience and Remote Sensing;journal;2.14;5.60
Social Psychiatry and Psychiatric Epidemiology;journal;1.86;4.33
Quarterly Journal of the Royal Meteorological Society;journal;1.74;3.74
American Review of Public Administration;journal;1.74;3.02
Economic Geology;journal;1.67;4.49
Exposure and Health;journal;1.57;11.42
Journal of Oncology;journal;1.23;4.38
Anthropocene;journal;1.21;3.96
International Journal of Bipolar Disorders;journal;1.13;4.34
BMC Microbiology;journal;1.11;3.61
Fisheries Oceanography;journal;1.02;2.79
Journal of Hospitality and Tourism Technology;journal;0.97;4.26
Animal Frontiers;journal;0.86;5.30
Journal of Materials Science;journal;0.81;4.22
Polymer Testing;journal;0.81;4.28
Journal of Legal Analysis;journal;0.80;2.75
Experimental Brain Research;journal;0.78;1.97
Sociology Compass;journal;0.78;2.19
Journal of Nonlinear and Variational Analysis;journal;0.77;1.86
Research in Social Stratification and Mobility;book series;0.77;1.59
Critical Criminology;journal;0.77;1.84
Nurse Educator;journal;0.66;2.08
Tribology Transactions;journal;0.64;1.96
International Journal of Ophthalmology;journal;0.63;1.78
Journal of Psychoeducational Assessment;journal;0.63;1.65
Genes and Environment;journal;0.63;2.09
Livestock Science;journal;0.62;1.94
Metabolic Syndrome and Related Disorders;journal;0.60;1.89
Polymer Composites;journal;0.58;3.17
American Journal of Potato Research;journal;0.54;1.70
Phi Delta Kappan;journal;0.53;0.85
Sport in Society;journal;0.52;1.73
Arctic;journal;0.50;1.78
Asian Journal of Social Psychology;journal;0.50;1.42
Invertebrate Biology;journal;0.49;1.25
Journal of Pipeline Systems Engineering and Practice;journal;0.48;1.95
Chromatographia;journal;0.43;2.04
Personal and Ubiquitous Computing;journal;0.42;3.01
Journal of Gerontological Nursing;journal;0.39;1.25
BMC Chemistry;journal;0.35;2.61
Review of Derivatives Research;journal;0.33;0.70
International Sugar Journal;journal;0.12;0.08
Surface Science Reports;journal;3.63;12.27
Clinical Microbiology and Infection;journal;2.88;8.07
Journal of Peace Research;journal;2.78;4.05
Cerebral Cortex;journal;2.69;5.36
R Journal;journal;2.57;3.98
American Journal of Public Health;journal;2.28;9.31
Lung Cancer;journal;1.99;5.71
Applied Thermal Engineering;journal;1.71;5.30
Journal of Criminal Justice;journal;1.64;3.37
Basic Research in Cardiology;journal;1.60;17.17
Infectious Diseases of Poverty;journal;1.46;4.52
Journal of Human Capital;journal;1.29;1.26
BMC Infectious Diseases;journal;1.28;3.09
Angle Orthodontist;journal;1.12;2.08
Fly;journal;1.01;2.16
Infection;journal;0.98;3.55
European Journal of Protistology;journal;0.97;3.02
Fire Safety Journal;journal;0.96;2.76
Immunobiology;journal;0.95;3.14
Biology Open;journal;0.94;2.42
Geochemical Transactions;journal;0.93;4.74
Biochemistry and Cell Biology;journal;0.84;3.63
Current Drug Targets;journal;0.83;3.47
Journal of the Operational Research Society;journal;0.75;2.86
International Journal of Psychiatry in Clinical Practice;journal;0.73;1.81
Toxicology Research;journal;0.71;3.52
Journal of Molecular Evolution;journal;0.69;2.40
Mineral Processing and Extractive Metallurgy Review;journal;0.69;5.28
Physiological Research;journal;0.65;1.88
Journal of Gynecology Obstetrics and Human Reproduction;journal;0.61;1.69
Biochemia Medica;journal;0.58;2.31
Child Abuse Review;journal;0.57;1.35
Materiales de Construccion;journal;0.54;1.62
Nutrition Research and Practice;journal;0.51;1.93
Pediatric Hematology and Oncology;journal;0.50;1.97
Reviews of Environmental Contamination and Toxicology;journal;0.49;7.56
IEEE Transactions on Applied Superconductivity;journal;0.47;1.70
Australasian Psychiatry;journal;0.44;1.37
Journal of Water and Climate Change;journal;0.42;1.90
California Law Review;journal;0.42;2.20
Quarterly Journal of Nuclear Medicine and Molecular Imaging;journal;0.41;2.35
Journal of Oleo Science;journal;0.39;1.60
Fordham Law Review;journal;0.33;0.98
Acta Medica Portuguesa;journal;0.32;1.14
Austrian Journal of Forest Science;journal;0.30;1.07
Entomologica Americana;journal;0.29;0.67
IETE Journal of Research;journal;0.22;2.33
Psychiatric Annals;journal;0.21;0.39
Annual Review of Genomics and Human Genetics;journal;5.68;8.93
Sleep Medicine Reviews;journal;4.27;11.61
Metabolic Engineering;journal;3.14;9.78
Frontiers in Cardiovascular Medicine;journal;1.71;6.05
Geoforum;journal;1.58;3.90
Molecular Pharmacology;journal;1.47;4.44
Journal of Molecular Endocrinology;journal;1.45;5.10
Journal of Cellular and Molecular Medicine;journal;1.44;5.31
School Psychology;journal;1.40;2.38
Crystallography Reviews;journal;1.30;2.47
Clinical and Experimental Rheumatology;journal;1.18;4.47
Nanotoxicology;journal;1.18;5.91
Journal of Network and Computer Applications;journal;1.15;6.28
Expert Opinion on Therapeutic Patents;journal;1.12;6.67
Canadian Journal of Fisheries and Aquatic Sciences;journal;1.09;2.60
Early Education and Development;journal;1.04;2.18
Letters in Mathematical Physics;journal;0.92;1.55
Educational Research;journal;0.90;2.51
Aquatic Sciences;journal;0.88;2.74
Comptes Rendus Mathematique;journal;0.80;0.79
Contemporary Politics;journal;0.75;1.58
Internal and Emergency Medicine;journal;0.69;3.40
IEEE Sensors Journal;journal;0.68;3.30
Autoimmunity;journal;0.62;2.82
Horticulturae;journal;0.62;2.33
European Journal of Migration and Law;journal;0.59;0.93
Salamandra;journal;0.58;1.91
Impact Assessment and Project Appraisal;journal;0.56;2.52
Chinese Medical Journal;journal;0.54;2.63
Cambridge Review of International Affairs;journal;0.52;3.10
Ultrasonic Imaging;journal;0.52;1.58
Swiss Journal of Palaeontology;journal;0.49;1.43
Journal of Network and Systems Management;journal;0.49;2.03
Journal of Tropical Pediatrics;journal;0.46;1.17
International Journal of Aerospace Engineering;journal;0.36;1.16
Heat Transfer Research;journal;0.33;2.44
Avian Biology Research;journal;0.33;1.22
Glass Physics and Chemistry;journal;0.30;0.88
Acta Polytechnica Hungarica;journal;0.28;1.81
Revista de Historia Industrial;journal;0.27;0.29
Open Life Sciences;journal;0.24;0.94
European History Quarterly;journal;0.15;0.47
Theoretical Biology Forum;journal;0.11;0.07
Leukemia;journal;4.54;11.53
Journal of the American Academy of Child and Adolescent Psychiatry;journal;3.22;8.83
Annual Review of Animal Biosciences;journal;2.88;8.92
British Journal of Pharmacology;journal;2.43;8.74
Ecosystem Services;journal;2.05;5.45
Geophysical Research Letters;journal;2.01;4.72
Computers and Geotechnics;journal;1.97;4.96
Desalination;journal;1.79;9.50
Clinical and Translational Gastroenterology;journal;1.67;4.49
Race Ethnicity and Education;journal;1.67;3.29
Educational Policy;journal;1.66;2.89
International Journal of Drug Policy;journal;1.65;5.01
International Journal of Climatology;journal;1.58;4.07
Pain Physician;journal;1.31;4.97
Archives of Physical Medicine and Rehabilitation;journal;1.31;3.97
Sedimentary Geology;journal;1.23;3.40
Chinese Journal of International Politics;journal;1.23;3.65
Engineering Studies;journal;1.22;0.94
Zoologica Scripta;journal;1.20;3.14
American Journal of Physical Anthropology;journal;1.15;2.87
Knee;journal;1.01;2.20
Tuberculosis;journal;0.98;3.13
Child Neuropsychology;journal;0.94;2.50
International Journal of Rheumatic Diseases;journal;0.80;2.45
Journal of the Science of Food and Agriculture;journal;0.78;3.64
Journal of Physics and Chemistry of Solids;journal;0.74;4.00
Journal of Marketing for Higher Education;journal;0.73;3.16
Yonsei Medical Journal;journal;0.70;2.76
Gerodontology;journal;0.70;2.98
Studies in Philosophy and Education;journal;0.68;1.78
Renal Failure;journal;0.67;2.61
European Journal of Inorganic Chemistry;journal;0.67;2.52
International Angiology;journal;0.64;2.79
Metals and Materials International;journal;0.63;3.64
Journal of Computational Biology;journal;0.59;1.48
Molecular and Cellular Probes;journal;0.57;2.37
Genetics and Molecular Biology;journal;0.55;1.77
Jornal Brasileiro de Pneumologia;journal;0.53;2.62
Comparative Cytogenetics;journal;0.49;1.80
Numerical Functional Analysis and Optimization;journal;0.48;1.04
Security Journal;journal;0.47;1.87
Minerva Gastroenterologica e Dietologica;journal;0.47;3.07
Research on Chemical Intermediates;journal;0.42;2.91
Metallurgist;journal;0.41;0.69
International Journal of Applied Ceramic Technology;journal;0.40;1.97
Astronomische Nachrichten;journal;0.39;0.68
Japan Journal of Nursing Science;journal;0.36;1.42
Journal of Gemmology;journal;0.34;1.38
Hemoglobin;journal;0.30;0.85
Americas;journal;0.18;0.50
Information Systems Research;journal;3.51;5.21
IEEE Transactions on Medical Imaging;journal;2.32;10.05
Communication Research;journal;1.92;4.86
Spine Journal;journal;1.83;4.17
Physical Review B;journal;1.78;4.04
Seminars in Hematology;journal;1.64;3.85
Optics Letters;journal;1.52;3.78
Current Rheumatology Reports;journal;1.39;4.59
Frontiers in Psychiatry;journal;1.36;4.16
Marine Policy;journal;1.36;4.17
Second Language Research;journal;1.32;2.18
Psychoanalytic Quarterly;journal;1.32;0.52
Molecular and Cellular Endocrinology;journal;1.30;4.10
Statistica Sinica;journal;1.24;1.26
Journal of Critical Care;journal;1.15;3.43
Transfusion;journal;1.05;3.16
Journal of Enzyme Inhibition and Medicinal Chemistry;journal;0.92;5.05
Therapeutic Advances in Endocrinology and Metabolism;journal;0.89;3.57
Counseling Psychologist;journal;0.83;2.21
Comparative Studies in Society and History;journal;0.77;1.22
Aquacultural Engineering;journal;0.77;3.28
Comparative European Politics;journal;0.74;2.01
Angiology;journal;0.74;3.62
Transactions in GIS;journal;0.72;2.41
Psychoanalytic Dialogues;journal;0.72;0.51
International Journal of Smart and Nano Materials;journal;0.71;4.50
Statistics;journal;0.68;1.05
International Migration;journal;0.68;1.95
Ocean Dynamics;journal;0.67;2.20
Marine and Coastal Fisheries;journal;0.66;1.57
Surgery Today;journal;0.66;2.55
International Clinical Psychopharmacology;journal;0.56;1.66
Journal of oral science;journal;0.50;1.56
International Journal of Corpus Linguistics;journal;0.49;1.06
Methodology and Computing in Applied Probability;journal;0.48;1.15
Swiss Medical Weekly;journal;0.47;2.19
Medical Hypotheses;journal;0.44;1.54
Human-Wildlife Interactions;journal;0.44;2.12
Canadian Journal of Chemical Engineering;journal;0.40;2.01
Journal of Dispersion Science and Technology;journal;0.37;2.26
Economic Record;journal;0.37;1.25
Thermal Science;journal;0.34;1.63
Advances in Complex Systems;journal;0.32;1.23
Population;journal;0.30;2.73
Romanian Journal of Morphology and Embryology;journal;0.30;1.03
Kuwait Journal of Science;journal;0.26;0.95
Oriental Insects;journal;0.24;0.53
Journal of the Belgian Society of Radiology;journal;0.23;1.89
Revista Brasileira de Medicina do Esporte;journal;0.22;0.59
Social History of Medicine;journal;0.20;0.97
Journal of Contemporary History;journal;0.19;0.58
Letters in Organic Chemistry;journal;0.18;0.87
Romanian Journal of Political Science;journal;0.17;0.22
Nature Reviews Microbiology;journal;11.50;60.63
Science immunology;journal;8.83;17.73
Science Translational Medicine;journal;6.82;17.96
Endocrine Reviews;journal;6.36;19.87
Current Opinion in Plant Biology;journal;4.16;7.83
Public Administration Review;journal;2.72;5.26
International Journal of Cancer;journal;2.48;7.40
Journal of Magnesium and Alloys;journal;2.13;10.09
Language Policy;journal;1.75;2.49
Structural Safety;journal;1.64;5.05
Borderline Personality Disorder and Emotion Dysregulation;journal;1.57;3.30
IEEE Electron Device Letters;journal;1.34;4.19
Mathematical Research Letters;journal;1.18;0.72
Preventing chronic disease;journal;1.17;2.83
Clinical Journal of Pain;journal;1.11;3.44
Journal of Industrial and Engineering Chemistry;journal;1.10;6.06
Survey Research Methods;journal;1.10;2.81
Journal of Transport and Land Use;journal;1.05;2.26
Veterinary Quarterly;journal;0.94;3.32
Politics;journal;0.86;2.49
Journal of Mammalogy;journal;0.84;2.42
Cardiovascular Therapeutics;journal;0.82;3.02
Review of Economics of the Household;journal;0.79;1.56
International Journal for Quality in Health Care;journal;0.77;2.04
Kyklos;journal;0.77;1.89
IEEE Transactions on Haptics;journal;0.77;2.49
Journal of Intervention and Statebuilding;journal;0.77;2.20
Zoology;journal;0.76;2.24
Ophthalmic Epidemiology;journal;0.73;1.65
Ecotoxicology;journal;0.72;2.82
Journal of Economic Methodology;journal;0.70;1.91
Journal of Helminthology;journal;0.65;2.17
Archive for Mathematical Logic;journal;0.62;0.29
Quantum Information Processing;journal;0.58;2.35
Marine Biodiversity;journal;0.58;1.53
Catalysis Surveys from Asia;journal;0.55;3.11
Bollettino della Societa Paleontologica Italiana;journal;0.53;1.97
Asian Pacific Journal of Tropical Medicine;journal;0.49;1.23
Acta Neurologica Belgica;journal;0.47;2.40
Gender in Management;journal;0.47;2.29
Advances in Genetics;journal;0.46;1.94
Human Fertility;journal;0.45;2.77
Blood Pressure Monitoring;journal;0.45;1.44
Bioelectromagnetics;journal;0.44;2.01
South African Journal of Psychiatry;journal;0.43;1.55
Anais da Academia Brasileira de Ciencias;journal;0.39;1.75
International Journal of Fruit Science;journal;0.33;1.36
Journal of Medicine and Philosophy;journal;0.33;0.94
Gesundheitswesen;journal;0.30;1.00
IEEE Industry Applications Magazine;journal;0.29;0.67
Fetal and Pediatric Pathology;journal;0.27;0.96
International Journal of Electronics;journal;0.25;1.34
Hokkaido Mathematical Journal;journal;0.24;0.77
History Workshop Journal;journal;0.23;1.10
Language and Linguistics;journal;0.20;0.11
Immunity;journal;14.29;31.75
Journal of Accounting Research;journal;6.77;4.36
Advances in Physics;journal;5.21;25.38
Materials Today Nano;journal;2.87;8.11
Earth and Planetary Science Letters;journal;2.83;5.26
Contemporary Accounting Research;journal;2.77;3.54
IEEE Transactions on Wireless Communications;journal;2.01;7.02
Endocrinology;journal;1.67;4.74
IEEE Transactions on Signal Processing;journal;1.64;4.93
Decision Support Systems;journal;1.56;5.80
Psychology of Women Quarterly;journal;1.42;4.06
Thin-Walled Structures;journal;1.33;4.44
Journal of Computing in Higher Education;journal;1.28;2.63
Journal of Evolution Equations;journal;1.26;1.67
Journal of Personalized Medicine;journal;1.25;4.95
European Journal of Marketing;journal;1.20;4.65
Israel Journal of Mathematics;journal;1.17;0.91
Perspectives on Medical Education;journal;1.15;2.95
Stress and Health;journal;1.01;3.52
Cellulose;journal;0.95;5.04
Andrology;journal;0.95;3.84
Migration Studies;journal;0.92;1.92
Quality and Reliability Engineering International;journal;0.91;2.89
Heart Failure Clinics;journal;0.88;3.18
Journal of Public Health Management and Practice;journal;0.77;1.79
Petroleum Exploration and Development;journal;0.76;3.80
Acta Arithmetica;journal;0.73;0.61
FEBS Open Bio;journal;0.72;2.69
Journal of Statistical Planning and Inference;journal;0.62;1.11
Environmental Chemistry;journal;0.62;3.09
Traffic Injury Prevention;journal;0.58;1.49
Journal of Microscopy;journal;0.57;1.76
Measurement Science and Technology;journal;0.48;2.05
Boreal Environment Research;journal;0.41;1.29
Rocky Mountain Journal of Mathematics;journal;0.37;0.57
Journal of Moral Philosophy;journal;0.34;0.51
Molluscan Research;journal;0.33;1.09
Caryologia;journal;0.32;0.92
South African Journal of Science;journal;0.32;2.20
Acta Chimica Slovenica;journal;0.29;1.74
Proceedings of the Estonian Academy of Sciences;journal;0.27;1.05
Ekonomicky Casopis;journal;0.26;0.69
Canadian Journal of Physics;journal;0.24;1.24
Contributions of the Astronomical Observatory Skalnate Pleso;journal;0.23;0.32
Geologia Croatica;journal;0.23;0.72
Maydica;journal;0.22;0.54
Nihon Reoroji Gakkaishi;journal;0.19;0.92
Nature Reviews Genetics;journal;26.21;53.24
Nature Neuroscience;journal;13.40;24.88
Cell Metabolism;journal;10.33;27.29
EMBO Journal;journal;7.48;11.60
Annual Review of Biomedical Engineering;journal;4.14;9.59
BMC Biology;journal;3.95;7.43
New Phytologist;journal;3.74;10.15
IEEE Transactions on Sustainable Energy;journal;2.77;7.92
MIS Quarterly Executive;journal;2.73;4.37
Journal of Industrial Ecology;journal;2.38;6.95
Developmental Psychology;journal;2.32;3.85
Journal of Behavioral Addictions;journal;2.27;6.76
Weather and Climate Extremes;journal;1.93;5.34
Journal of Anxiety Disorders;journal;1.86;5.26
Cancers;journal;1.82;6.64
Construction and Building Materials;journal;1.66;6.14
Social Studies of Science;journal;1.61;3.89
Acta Physiologica;journal;1.59;6.31
Journal of Sex Research;journal;1.57;5.14
Journal of Pest Science;journal;1.51;5.92
Materials Today Bio;journal;1.45;7.35
International Reviews in Physical Chemistry;journal;1.39;4.76
Advanced Nonlinear Studies;journal;1.31;1.45
Molecular Carcinogenesis;journal;1.25;4.78
Briefings in Functional Genomics;journal;1.22;4.24
Materials Characterization;journal;1.19;4.34
World Journal of Biological Psychiatry;journal;1.17;4.13
Shock;journal;1.10;3.45
Virology Journal;journal;1.09;4.10
BMC Family Practice;journal;1.08;2.50
Cornell Hospitality Quarterly;journal;1.07;3.65
Language Learning and Development;journal;1.07;1.00
Journal of Educational Computing Research;journal;1.05;3.09
Dalton Transactions;journal;0.98;4.39
Food Engineering Reviews;journal;0.97;5.76
Journal of the Neurological Sciences;journal;0.96;3.18
International Journal of Communication;journal;0.96;1.80
Journal of Cereal Science;journal;0.91;3.62
Journal of Neuroradiology;journal;0.91;3.45
Pain Medicine;journal;0.89;3.75
Zoonoses and Public Health;journal;0.87;2.70
Earth and Space Science;journal;0.84;2.90
International Journal of Selection and Assessment;journal;0.81;1.84
Applied Intelligence;journal;0.79;5.09
Theoretical Population Biology;journal;0.76;1.57
Journal of Computer-Aided Molecular Design;journal;0.75;3.69
Climacteric;journal;0.75;3.01
Veterinary Dermatology;journal;0.74;1.59
Immunopharmacology and Immunotoxicology;journal;0.70;2.73
Advances in Space Research;journal;0.68;2.15
BMC Medical Genetics;journal;0.67;2.10
Journal of Applied Probability;journal;0.67;1.04
Paediatrics and international child health;journal;0.64;1.99
Electronic Journal of Differential Equations;journal;0.62;1.28
Animal Science Journal;journal;0.61;1.75
Herpetological Monographs;book series;0.60;1.86
American Journal of Medical Quality;journal;0.59;1.85
Meccanica;journal;0.59;2.26
Geografia Fisica e Dinamica Quaternaria;journal;0.55;1.50
Ursus;journal;0.53;0.71
Revista da Sociedade Brasileira de Medicina Tropical;journal;0.50;1.58
Journal of Mass Spectrometry;journal;0.48;1.98
Chilean Journal of Agricultural Research;journal;0.47;1.68
Systems Engineering;journal;0.47;1.45
China Foundry;journal;0.41;1.20
Scottish Historical Review;journal;0.38;0.58
Soil Mechanics and Foundation Engineering;journal;0.37;0.81
Electrical Engineering;journal;0.35;1.84
Open Chemistry;journal;0.27;1.55
Medical Letter on Drugs and Therapeutics;journal;0.25;1.91
Informes de la Construccion;journal;0.23;0.38
Kodai Mathematical Journal;journal;0.20;0.26
Malaysian Journal of Computer Science;journal;0.20;0.62
Cytology and Genetics;journal;0.19;0.58
California Fish and Game;journal;0.17;0.33
Chinese Journal of Inorganic Chemistry;journal;0.16;0.83
Journal of Strategic Information Systems;journal;3.13;11.02
Functional Ecology;journal;2.27;5.61
Contraception;journal;2.04;3.38
International Review of Cell and Molecular Biology;journal;1.89;6.81
Journal of Social Issues;journal;1.62;3.42
Clinical and Experimental Ophthalmology;journal;1.30;4.21
Statistical Papers;journal;1.23;2.23
Travel Medicine and Infectious Disease;journal;1.21;6.21
Invertebrate Systematics;journal;1.19;2.58
PPAR Research;journal;1.16;4.96
China Quarterly;journal;1.16;3.15
Laryngoscope investigative otolaryngology;journal;1.13;2.46
SIAM-ASA Journal on Uncertainty Quantification;journal;1.09;2.18
Powder Technology;journal;1.08;5.13
Journal of Interferon and Cytokine Research;journal;1.03;2.61
Oncology;journal;0.99;2.94
Current Cardiology Reports;journal;0.94;2.93
Materials and Manufacturing Processes;journal;0.91;4.62
European Review of Aging and Physical Activity;journal;0.89;3.88
Pediatric Pulmonology;journal;0.87;3.04
Journal of Operator Theory;journal;0.81;1.01
Research in International Business and Finance;journal;0.77;4.09
New Microbiologica;journal;0.75;2.48
Soil Science and Plant Nutrition;journal;0.75;2.39
Ships and Offshore Structures;journal;0.67;1.98
Gynecologic and Obstetric Investigation;journal;0.63;2.03
American Journal of Critical Care;journal;0.59;2.23
Industrial Health;journal;0.55;2.18
Perspectives in Psychiatric Care;journal;0.54;2.19
Journal of Clinical Laboratory Analysis;journal;0.54;2.35
Small Ruminant Research;journal;0.52;1.61
Journal of Wine Economics;journal;0.51;1.57
Review of International Economics;journal;0.51;0.96
Memory Studies;journal;0.50;1.59
Biocontrol Science and Technology;journal;0.49;1.67
Lake and Reservoir Management;journal;0.49;1.44
Surface Innovations;journal;0.45;3.02
International Journal of Polymer Analysis and Characterization;journal;0.39;2.58
Therapie;journal;0.39;2.07
General Physiology and Biophysics;journal;0.38;1.51
Polish Maritime Research;journal;0.37;0.98
World Journal of Clinical Cases;journal;0.37;1.34
Autex Research Journal;journal;0.35;1.38
Polish Journal of Veterinary Sciences;journal;0.30;0.82
Advances in Protein Chemistry and Structural Biology;journal;0.26;3.51
American Business Law Journal;journal;0.25;1.53
Journal of the Japan Petroleum Institute;journal;0.24;0.56
Ceskoslovenska Psychologie;journal;0.19;0.47
BioPharm International;trade journal;0.13;0.08
Cement and Concrete Research;journal;4.63;10.93
Additive Manufacturing;journal;2.71;11.00
Depression and Anxiety;journal;2.63;6.51
Journal of Memory and Language;journal;2.44;3.06
Technovation;journal;2.30;6.61
IEEE Transactions on Robotics;journal;2.03;5.57
Respirology;journal;1.86;6.42
Experimental Neurology;journal;1.78;5.33
Frontiers in Plant Science;journal;1.75;5.75
Commentarii Mathematici Helvetici;journal;1.60;1.29
Cognitive Science;journal;1.50;2.56
Journal of Physical Chemistry C;journal;1.40;4.13
Journal of Systematics and Evolution;journal;1.25;4.10
IEEE Transactions on Services Computing;journal;1.21;8.22
Molecular Oral Microbiology;journal;1.18;3.56
Annals of Nuclear Energy;journal;1.16;1.78
Economic Systems Research;journal;1.02;2.69
ChemPhysChem;journal;1.02;3.10
Economic History Review;journal;1.01;1.91
International Journal of Psychoanalysis;journal;0.91;0.70
Journal of Biotechnology;journal;0.90;3.31
Journal of Investigative Medicine;journal;0.88;2.90
Frontiers of Mechanical Engineering;journal;0.84;4.53
Journal of Medical Virology;journal;0.78;2.33
Journal of Pharmaceutical and Biomedical Analysis;journal;0.78;3.94
Moscow Mathematical Journal;journal;0.70;0.80
Blood Purification;journal;0.69;2.61
European Journal of International Management;journal;0.66;2.51
ChemistryOpen;journal;0.64;2.91
Bulletin de la Societe Mathematique de France;journal;0.62;0.29
Biomedical and Environmental Sciences;journal;0.60;3.12
Acta Radiologica;journal;0.58;1.99
Journal of Liposome Research;journal;0.58;3.65
Wildlife Biology;journal;0.57;1.47
Heritage Science;journal;0.55;2.52
Journal of Global Information Technology Management;journal;0.47;3.52
Turkish Journal of Mathematics;journal;0.45;0.80
Endocrine Research;journal;0.45;1.72
Geo-Marine Letters;journal;0.41;1.84
Astrophysics and Space Science;journal;0.40;1.83
Journal of Biological Systems;journal;0.40;1.00
Journal of the Royal Society of New Zealand;journal;0.39;2.75
New Zealand Journal of Botany;journal;0.36;1.17
Chinese Management Studies;journal;0.34;1.68
Oil Shale;journal;0.34;0.93
Pakistan Journal of Zoology;journal;0.29;0.83
Technology and Health Care;journal;0.28;1.29
Irish Educational Studies;journal;0.28;1.02
Journal of Traditional Chinese Medicine;journal;0.23;0.85
Pakistan Journal of Pharmaceutical Sciences;journal;0.22;0.68
Universitas Psychologica;journal;0.22;0.45
Indian Journal of Pharmaceutical Education and Research;journal;0.20;0.69
Acta Biologica Colombiana;journal;0.18;0.41
Progress in Nutrition;journal;0.18;0.54
B-ENT;journal;0.18;0.08
Progress in Particle and Nuclear Physics;journal;7.16;16.28
Journal of Clinical Investigation;journal;6.28;14.81
Trends in Neurosciences;journal;4.72;13.84
Social Issues and Policy Review;journal;3.80;8.31
Bioinformatics;journal;3.60;6.94
Protein Science;journal;3.35;6.73
IEEE Journal on Selected Areas in Communications;journal;2.99;9.14
ACS Photonics;journal;2.74;7.53
Global Biogeochemical Cycles;journal;2.51;5.70
Frontiers in Molecular Neuroscience;journal;1.99;5.64
Critical Reviews in Clinical Laboratory Sciences;journal;1.77;6.25
Journal of Purchasing and Supply Management;journal;1.71;5.50
Journal of the Institute of Mathematics of Jussieu;journal;1.67;1.52
Laboratory Investigation;journal;1.54;5.66
Contemporary Physics;journal;1.50;5.19
Cellular Signalling;journal;1.44;4.32
Psychopharmacology;journal;1.38;4.53
International Data Privacy Law;journal;1.37;2.67
International Immunopharmacology;journal;1.15;4.93
Journal of Psychosomatic Research;journal;1.13;3.01
Evolutionary Biology;journal;1.03;3.12
Mathematika;journal;0.96;0.84
Economic and Industrial Democracy;journal;0.89;2.95
Southern African Journal of HIV Medicine;journal;0.86;2.74
Journal of Thermal Stresses;journal;0.84;3.28
Systems Biology in Reproductive Medicine;journal;0.77;3.06
Beilstein Journal of Organic Chemistry;journal;0.77;2.88
International Journal of Speech-Language Pathology;journal;0.76;2.48
International Health;journal;0.74;2.47
Journal of Korean Medical Science;journal;0.74;2.15
Acta Neurochirurgica;journal;0.74;2.22
Journal of Small Animal Practice;journal;0.70;1.52
International Journal of Biological Markers;journal;0.70;2.66
IEEE Transactions on Computers;journal;0.68;2.66
i-Perception;journal;0.64;1.59
Journal of Environmental and Engineering Geophysics;journal;0.57;1.53
Electronic Library;journal;0.55;1.45
Psychosomatics;journal;0.54;2.39
Journal of Raptor Research;journal;0.54;1.15
Journal of Environmental Law;journal;0.53;2.00
Journal of Electromagnetic Engineering and Science;journal;0.53;2.70
Toxicology Mechanisms and Methods;journal;0.49;2.99
Transport;journal;0.44;1.47
Critique of Anthropology;journal;0.44;1.20
Stochastic Models;journal;0.43;0.65
Periodico di Mineralogia;journal;0.42;1.31
Anatolian journal of cardiology;journal;0.36;1.60
Physics of Metals and Metallography;journal;0.36;0.88
Asian Economic Journal;journal;0.35;0.74
Journal of the Chinese Chemical Society;journal;0.33;1.97
Hamostaseologie;journal;0.31;1.78
Optical Review;journal;0.31;0.89
International Journal of Sensor Networks;journal;0.28;1.30
American Biology Teacher;journal;0.28;0.34
Alternative Therapies in Health and Medicine;journal;0.27;1.31
Northeastern Naturalist;journal;0.27;0.58
Journal of Popular Culture;journal;0.24;0.35
Applied Ecology and Environmental Research;journal;0.23;0.71
Imaging Science Journal;journal;0.22;0.87
Japanese Economic Review;journal;0.21;0.49
Review of Network Economics;journal;0.16;0.53
Development;journal;0.15;6.87
Zeitschrift fur Bibliothekswesen und Bibliographie;journal;0.14;0.13
Nuclear Engineering International;trade journal;0.10;0.08
Immunological Reviews;journal;6.84;12.99
Annals of Neurology;journal;4.76;10.42
ILR Review;journal;2.93;4.54
Organizational Psychology Review;journal;2.46;3.06
Ecology;journal;2.14;5.50
American Journal of Health Economics;journal;1.89;2.64
Journal of Learning Disabilities;journal;1.64;2.86
Journal of Rock Mechanics and Geotechnical Engineering;journal;1.47;4.34
Journal of Pharmacology and Experimental Therapeutics;journal;1.29;4.03
International Journal of Thermal Sciences;journal;1.21;3.74
Artificial Intelligence Review;journal;1.20;8.14
Journal of Digital Imaging;journal;1.06;4.06
NanoImpact;journal;1.05;5.32
Theoretical and Applied Fracture Mechanics;journal;1.01;4.02
Computational Materials Science;journal;0.88;3.30
Biotropica;journal;0.81;2.51
International Journal of Mechanics and Materials in Design;journal;0.80;4.01
Surgical Infections;journal;0.77;2.15
Journal of Evolutionary Economics;journal;0.77;2.34
Journal of Great Lakes Research;journal;0.72;2.48
School Psychology International;journal;0.70;2.01
Annals of Applied Biology;journal;0.68;2.75
Canadian Journal of Forest Research;journal;0.68;1.99
International Journal of Dermatology;journal;0.68;2.74
International Journal of Cultural Studies;journal;0.67;1.86
Nonlinear Processes in Geophysics;journal;0.60;1.74
Pharmacogenetics and Genomics;journal;0.58;2.09
Journal of Geography;journal;0.56;2.40
